Number,Tournament,Season,Playoff round,Team 1,Team 2,Home odds game 1,Draw odds game 1,Away odds game 1,ELO Rating ,Home Goals game 1,Away goals game 1,Result,Goal difference,Team 2,Team 1,Home odds game 2,Draw odds game 2,Away odds game 2,ELO Rating ,Home Goals game 2,Away goals game 2,Result,Goal difference
75,Champions League,1112,1/8-final,CSKA Moscow,Real Madrid,8.23,4.57,1.47,299.2330002,1,1,X,0,Real Madrid,CSKA Moscow,1.1,12.57,28.59,-565.9285881,4,1,1,3
76,Champions League,1112,1/8-final,Napoli,Chelsea,2.23,3.39,3.61,-83.68093554,3,1,1,2,Chelsea,Napoli,1.62,4.55,5.45,-210.7525951,3,1,1,2
77,Champions League,1112,1/8-final,Marseille,Inter,1.92,3.67,4.44,-145.6326966,1,0,1,1,Inter,Marseille,2.08,3.6,3.8,-104.6881047,2,1,1,1
78,Champions League,1112,1/8-final,Basel,Bayern Munich,6.42,4.09,1.61,240.2836608,1,0,1,1,Bayern Munich,Basel,1.2,8,15.75,-447.2397248,7,0,1,7
79,Champions League,1011,Semifinal,Schalke,Manchester United,3.8,3.36,2.18,96.5308412,0,2,2,-2,Manchester United,Schalke,1.62,3.89,6.7,-246.6239153,4,1,1,3
80,Champions League,1011,Semifinal,Real Madrid,Barcelona,2.77,3.2,2.88,-6.765087478,0,2,2,-2,Barcelona,Real Madrid,1.63,4.42,5.48,-210.6371816,1,1,X,0
81,Champions League,1011,Quarterfinal,Inter,Schalke,1.74,3.58,6,-215.0408008,2,5,2,-3,Schalke,Inter,2.56,3.76,2.75,-12.43709141,2,1,1,1
82,Champions League,1011,Quarterfinal,Chelsea,Manchester United,2.16,3.25,3.97,-105.7347022,0,1,2,-1,Manchester United,Chelsea,2.29,3.52,3.32,-64.52104055,2,1,1,1
83,Champions League,1011,1/8-final,Valencia,Schalke,1.7,3.75,5.99,-218.7911604,1,1,X,0,Schalke,Valencia,2.68,3.2,2.99,-19.01455772,3,1,1,2
84,Champions League,1011,1/8-final,AC Milan,Tottenham,1.74,3.79,5.5,-199.9253765,0,1,2,-1,Tottenham,AC Milan,2.44,3.55,3.03,-37.62112087,0,0,X,0
85,Champions League,1011,1/8-final,AS Roma,Shakhtar Donetsk,2.37,3.33,3.36,-60.63637255,2,3,2,-1,Shakhtar Donetsk,AS Roma,1.76,4.13,4.74,-172.1062695,3,0,1,3
86,Champions League,1011,1/8-final,Arsenal,Barcelona,4.28,4.01,1.86,144.7723299,2,1,1,1,Barcelona,Arsenal,1.32,6.37,9.35,-340.0950719,3,1,1,2
87,Champions League,1011,1/8-final,Lyon,Real Madrid,4.53,3.46,1.96,145.5368523,1,1,X,0,Real Madrid,Lyon,1.35,5.45,10.35,-353.8426325,3,0,1,3
88,Champions League,1011,1/8-final,FC Copenhagen,Chelsea,4.73,3.24,2,149.532458,0,2,2,-2,Chelsea,FC Copenhagen,1.27,6.29,12.88,-402.4448568,0,0,X,0
89,Champions League,1011,1/8-final,Marseille,Manchester United,3.1,3.14,2.64,27.90310679,0,0,X,0,Manchester United,Marseille,1.58,3.98,7.15,-262.2595819,2,1,1,1
90,Champions League,1011,1/8-final,Inter,Bayern Munich,2.79,3.23,2.84,-3.085654709,0,1,2,-1,Bayern Munich,Inter,1.76,4.3,4.53,-164.2342137,2,3,2,-1
91,Champions League,0910,Semifinal,Inter,Barcelona,3.25,3.27,2.45,49.08691065,3,1,1,2,Barcelona,Inter,1.44,5.25,7.39,-284.1127785,1,0,1,1
92,Champions League,0910,Semifinal,Bayern Munich,Lyon,1.68,3.94,5.85,-216.7386337,1,0,1,1,Lyon,Bayern Munich,2.45,3.53,3.05,-38.05350199,0,3,2,-3
93,Champions League,0910,Quarterfinal,Lyon,Bordeaux,2.25,3.26,3.72,-87.34416871,3,1,1,2,Bordeaux,Lyon,2.14,3.51,3.7,-95.11518029,1,0,1,1
